"action","boro","inspection_date","cuisine_description","dba","score","street","violation_description","zipcode","grade","lon"
NA,"BROOKLYN",2017-01-19,"CafÃ©/Coffee/Tea","A GUSTO",21,"FULTON ST","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11216,NA,NA
NA,"BROOKLYN",2017-01-19,"American","MILE END",19,"Hoyt Street","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11217,NA,NA
NA,"BROOKLYN",2017-01-19,"American","JAYSE CATERING",12,"HURON STREET","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11222,"A",NA
NA,"BROOKLYN",2017-01-19,"Japanese","SAKURA 6 JAPANESE CUISINE",13,"MANHATTAN AVENUE","Evidence of mice or live mice present in facility's food and/or non-food areas.",11222,NA,NA
NA,"BROOKLYN",2017-01-19,"Soul Food","ENID'S",13,"MANHATTAN AVENUE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",11222,"A",NA
NA,"BROOKLYN",2017-01-19,"Thai","BOON THAI",4,"MANHATTAN AVE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11222,"A",NA
NA,"BROOKLYN",2017-01-19,"Turkish","taci's beyti restaurant",19,"CONEY ISLAND AVE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",11223,NA,NA
NA,"BROOKLYN",2017-01-19,"Middle Eastern","MYST HOOKAH LOUNGE & CAFE",7,"CONEY ISLAND AVE","Proper sanitization not provided for utensil ware washing operation.",11223,"A",NA
NA,"BROOKLYN",2017-01-19,"Jewish/Kosher","POSH TOMATO",48,"AVENUE U","Food Protection Certificate not held by supervisor of food operations.",11223,NA,NA
NA,"BROOKLYN",2017-01-19,"Greek","GREEK GYRO STYLE",2,"KINGS HWY","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11223,"A",NA
NA,"BROOKLYN",2017-01-19,"American","THE WESTBURY INN",12,"FLATBUSH AVE","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",11225,"A",NA
NA,"BROOKLYN",2017-01-19,"Chinese","EMPIRE KITCHEN .",7,"PARK PL","Wiping cloths soiled or not stored in sanitizing solution.",11233,"A",NA
NA,"BROOKLYN",2017-01-19,"American","ALPHAVILLE",26,"WILSON AVE","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11237,"B",NA
NA,"BROOKLYN",2017-01-19,"American","THE WHEELHOUSE",11,"WILSON AVE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",11237,"A",NA
NA,"BROOKLYN",2017-01-19,"American","MILLS TAVERN",7,"MYRTLE AVENUE","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",11237,"A",NA
NA,"BROOKLYN",2017-01-19,"American","THE CRABBY SHACK",12,"FRANKLIN AVE","Hot food item not held at or above 140Âº F.",11238,"A",NA
NA,"BROOKLYN",2017-01-19,"American","KINJO",24,"GREENE AVE","Evidence of mice or live mice present in facility's food and/or non-food areas.",11238,"B",NA
NA,"BROOKLYN",2017-01-19,"American","CAFE FORTE",10,"SAINT JOHNS PL","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",11238,"A",NA
NA,"BROOKLYN",2017-01-19,"African","HADJA MARLEY RESTAURANT",12,"FULTON STREET","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11238,"A",NA
NA,"BROOKLYN",2017-01-19,"American","THE NORM",6,"EASTERN PKWY","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11238,"A",NA
NA,"QUEENS",2017-01-19,"CafÃ©/Coffee/Tea","SPOT DESSERT BAR",10,"PRINCE ST","Wiping cloths soiled or not stored in sanitizing solution.",11354,NA,NA
NA,"QUEENS",2017-01-19,"Asian","TAVERN 157",24,"NORTHERN BLVD","Evidence of mice or live mice present in facility's food and/or non-food areas.",11354,NA,NA
NA,"QUEENS",2017-01-19,"Other","Happy Lemon",4,"39TH AVE","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",11354,"A",NA
NA,"QUEENS",2017-01-19,"CafÃ©/Coffee/Tea","TEA CHA CHA",9,"MAIN ST","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11354,"A",NA
NA,"QUEENS",2017-01-19,"Chinese","Lan Zhou Handmade Noodle",10,"MAIN ST","Single service item reused, improperly stored, dispensed; not used when required.",11355,"A",NA
NA,"QUEENS",2017-01-19,"Bakery","TONG HAI TUNG BAKERY",18,"MAIN STREET","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11355,"B",NA
NA,"QUEENS",2017-01-19,"Greek","NIKITA'S PLACE",10,"UTOPIA PKWY","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",11357,"A",NA
NA,"QUEENS",2017-01-19,"Chinese/Japanese","CASA ASIA",12,"14 AVENUE","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",11357,"A",NA
NA,"QUEENS",2017-01-19,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","EL CARAMELO COFFEE SHOP",12,"43 AVENUE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",11368,"A",NA
NA,"QUEENS",2017-01-19,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","MAMBO KING",12,"NORTHERN BLVD","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",11368,"A",NA
NA,"QUEENS",2017-01-19,"CafÃ©/Coffee/Tea","WORLDBEAN",0,"LAGUARDIA AIRPORT",NA,11369,"A",NA
NA,"QUEENS",2017-01-19,"American","COTTO",11,"LAGUARDIA AIRPORT","Live roaches present in facility's food and/or non-food areas.",11369,"A",NA
NA,"QUEENS",2017-01-19,"Pizza/Italian","CRUST",5,"LAGUARDIA AIRPORT","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11371,"A",NA
NA,"QUEENS",2017-01-19,"Jewish/Kosher","HARRY'S DELI",3,"LA GUARDIA AIRPORT","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11371,"A",NA
NA,"QUEENS",2017-01-19,"Bakery","COTTO MARKET-GATE C30",0,"LAGUARDIA AIRPORT",NA,11371,"A",NA
NA,"QUEENS",2017-01-19,"Indian","DELHI HEIGHTS",7,"74 STREET","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",11372,"A",NA
NA,"QUEENS",2017-01-19,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","ORGANIC FOOD NATURAL JUICES ND COFFEE",9,"ROOSEVELT AVE","Food contact surface not properly maintained.",11372,"A",NA
NA,"QUEENS",2017-01-19,"Japanese","SUSHI YASU",12,"AUSTIN STREET","Hot food item not held at or above 140Âº F.",11375,"A",NA
NA,"QUEENS",2017-01-19,"American","BILLIARD COMPANY",7,"AUSTIN STREET","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11375,"A",NA
NA,"QUEENS",2017-01-19,"Jewish/Kosher","HEART BEET EATERY",8,"METROPOLITAN AVE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",11375,"A",NA
NA,"QUEENS",2017-01-19,"American","NEW TEXAS FRIED CHICKEN & PIZZA",9,"BROADWAY","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11377,"A",NA
NA,"QUEENS",2017-01-19,"Bagels/Pretzels","BAGELS PLUS",13,"WOODSIDE AVENUE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",11377,"A",NA
NA,"QUEENS",2017-01-19,"American","SLIDE BAR-B-Q",9,"65TH PL","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11378,"A",NA
NA,"QUEENS",2017-01-19,"Japanese","WAKAMATSU JAPANESE RESTAURANT",7,"GRAND AVE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11378,"A",NA
NA,"QUEENS",2017-01-19,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","LUGO LOUNGE & RESTAURANT",2,"CYPRESS AVENUE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11385,"A",NA
NA,"QUEENS",2017-01-19,"Polish","I.O. CAFE",11,"FAIRVIEW AVENUE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11385,"A",NA
NA,"QUEENS",2017-01-19,"American","JOHNNY ROCKETS",5,"COOPER AVENUE","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11385,"A",NA
NA,"QUEENS",2017-01-19,"Jewish/Kosher","EXPRESSO CAFE & COFFEE HOUSE",31,"AUSTIN ST","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11415,NA,NA
NA,"QUEENS",2017-01-19,"Japanese","OISHII",20,"METROPOLITAN AVE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",11418,"B",NA
NA,"QUEENS",2017-01-19,"Pizza","MUNCHIES",10,"LIBERTY AVE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",11419,"A",NA
NA,"QUEENS",2017-01-19,"Caribbean","FLAMINGO RESTAURANT AND MANTRA LOUNGE",7,"ROCKAWAY BLVD","Proper sanitization not provided for utensil ware washing operation.",11420,"A",NA
NA,"QUEENS",2017-01-19,"American","CC KITCHEN",5,"JFK INTERNATIONAL AIRPORT","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",11430,"A",NA
NA,"QUEENS",2017-01-19,"American","AERONUOVA",7,"JFK INTERNATIONAL AIRPORT","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11430,"A",NA
NA,"QUEENS",2017-01-19,"American","AER LINGUS LOUNGE",2,"TERMINAL 5- JFK AIRPORT","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11430,"A",NA
NA,"QUEENS",2017-01-19,"American","PHILLY CHEESESTEAKS",3,"JOHN F. KENNEDY INTL AIRPORT","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11430,"A",NA
NA,"QUEENS",2017-01-19,"American","COURTYARD BY MARRIOTT",2,"NORTH CONDUIT AVENUE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11436,"A",NA
NA,"MANHATTAN",2017-01-20,"Other","2 BROTHERS PIZZA",10,"W 35TH ST","Proper sanitization not provided for utensil ware washing operation.",10001,"A",NA
NA,"MANHATTAN",2017-01-20,"American","O'HARA'S",12,"CEDAR STREET","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10006,"A",NA
NA,"MANHATTAN",2017-01-20,"American","My Belly's Playlist",5,"WASHINGTON ST","Wiping cloths soiled or not stored in sanitizing solution.",10006,"A",NA
NA,"MANHATTAN",2017-01-20,"American","HU KITCHEN",11,"5 AVENUE","Single service item reused, improperly stored, dispensed; not used when required.",10011,"A",NA
NA,"MANHATTAN",2017-01-20,"Ice Cream, Gelato, Yogurt, Ices","KITH TREATS",3,"BROADWAY","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10012,"A",NA
NA,"MANHATTAN",2017-01-20,"Chinese","YIWANMEN/CHONG QING NOODLE",3,"MOTT ST","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10013,"A",NA
NA,"MANHATTAN",2017-01-20,"Chinese","RED FARM/DECOY",5,"HUDSON STREET","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10014,"A",NA
NA,"MANHATTAN",2017-01-20,"American","HUDSON BAR AND BOOKS",9,"HUDSON STREET","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10014,"A",NA
NA,"MANHATTAN",2017-01-20,"French","BARRIO 47",11,"8 AVENUE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10014,"A",NA
NA,"MANHATTAN",2017-01-20,"Italian","PICCOLO ANGOLO",2,"HUDSON STREET","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10014,"A",NA
NA,"MANHATTAN",2017-01-20,"Steak","BEN & JACKS STEAKHOUSE",20,"5 AVENUE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10016,NA,NA
NA,"MANHATTAN",2017-01-20,"French","MADISON BISTRO",17,"MADISON AVENUE","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10016,"B",NA
NA,"MANHATTAN",2017-01-20,"American","THE CUTTING ROOM",12,"EAST   32 STREET","Food Protection Certificate not held by supervisor of food operations.",10016,"A",NA
NA,"MANHATTAN",2017-01-20,"French","CAFE CENTRO",13,"PARK AVENUE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10017,"A",NA
NA,"MANHATTAN",2017-01-20,"American","BLUE OLIVE MARKET",7,"E 41ST ST","Accurate thermometer not provided in refrigerated or hot holding equipment.",10017,"A",NA
NA,"MANHATTAN",2017-01-20,"American","PIER 79/NY WATERWAY SEATTLE CAFE",46,"W 38TH ST","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",10018,NA,NA
NA,"MANHATTAN",2017-01-20,"Sandwiches/Salads/Mixed Buffet","FRESH & CO",13,"BROADWAY","Hot food item not held at or above 140Âº F.",10018,"A",NA
NA,"MANHATTAN",2017-01-20,"Indian","THE KATI ROLL COMPANY",8,"WEST   39 STREET","Hot food item not held at or above 140Âº F.",10018,"A",NA
NA,"MANHATTAN",2017-01-20,"American","KITCHEN PROVANCE",7,"WEST   38 STREET","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",10018,"A",NA
NA,"MANHATTAN",2017-01-20,"Pizza","BELLA VITA",57,"WEST   58 STREET","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10019,NA,NA
NA,"MANHATTAN",2017-01-20,"CafÃ©/Coffee/Tea","KAHVE",17,"9 AVENUE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10019,NA,NA
NA,"MANHATTAN",2017-01-20,"Donuts","DOUGHNUTTERY",5,"W 58TH ST","Proper sanitization not provided for utensil ware washing operation.",10019,"A",NA
NA,"MANHATTAN",2017-01-20,"American","BLACK TAP",31,"W 55TH ST","Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.",10019,NA,NA
NA,"MANHATTAN",2017-01-20,"CafÃ©/Coffee/Tea","CAFE 71",20,"BROADWAY","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10023,NA,NA
NA,"MANHATTAN",2017-01-20,"Japanese","KISSATEN JIN",10,"BROADWAY","Food not cooked to required minimum temperature.",10027,"A",NA
NA,"MANHATTAN",2017-01-20,"Chinese","PEKING GARDEN",11,"BROADWAY","Hot food item not held at or above 140Âº F.",10027,"A",NA
NA,"MANHATTAN",2017-01-20,"American","TRIPLE A DINER",12,"2 AVENUE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10029,"A",NA
NA,"MANHATTAN",2017-01-20,"Soul Food","MA DUKES",27,"FREDERICK DOUGLASS BLVD","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",10030,"B",NA
NA,"MANHATTAN",2017-01-20,"Seafood","BROTHERS FISH MARKET",13,"BROADWAY","Thawing procedures improper.",10032,"A",NA
NA,"MANHATTAN",2017-01-20,"American","HILLTOP PERK DELI",12,"HAVEN AVE","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10032,"A",NA
NA,"MANHATTAN",2017-01-20,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","EL NUEVO TAINO",15,"AMSTERDAM AVENUE","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10032,"B",NA
NA,"MANHATTAN",2017-01-20,"American","CORAL DINER",9,"BROADWAY","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10032,"A",NA
NA,"MANHATTAN",2017-01-20,"American","KENNEDY CHICKEN & PIZZA",11,"2ND AVE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10035,"A",NA
NA,"MANHATTAN",2017-01-20,"American","WHITE & CASE",0,"6 AVENUE",NA,10036,"A",NA
NA,"MANHATTAN",2017-01-20,"Soul Food","MANNA'S SOUL FOOD RESTAURANT",12,"LENOX AVE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10037,"A",NA
NA,"MANHATTAN",2017-01-20,"American","AUGUSTINE",2,"BEEKMAN ST","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10038,"A",NA
NA,"MANHATTAN",2017-01-20,"Pizza","ZESTY PIZZA & SALUMERIA",11,"3RD AVE","Hot food item not held at or above 140Âº F.",10128,"A",NA
NA,"MANHATTAN",2017-01-20,"Sandwiches/Salads/Mixed Buffet","FILLMORE DELICATESSEN",7,"3RD AVE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10128,"A",NA
NA,"STATEN ISLAND",2017-01-20,"Barbecue","CRAFT HOUSE INC",28,"VAN DUZER ST","Evidence of mice or live mice present in facility's food and/or non-food areas.",10301,"C",NA
NA,"STATEN ISLAND",2017-01-20,"Spanish","MAMMY'S SPORTS BAR",4,"PORT RICHMOND AVE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10302,"A",NA
NA,"STATEN ISLAND",2017-01-20,"Pizza/Italian","NUNZIO PIZZERIA'S",4,"HYLAN BOULEVARD","Thawing procedures improper.",10306,"A",NA
NA,"STATEN ISLAND",2017-01-20,"American","MIKE'S OAKWOOD DINER",10,"AMBOY ROAD","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",10306,"A",NA
NA,"BRONX",2017-01-20,"American","GRAND SLAM Banquet Hall",9,"EAST TREMONT AVENUE","''''Wash hands sign not posted at hand wash facility.",10457,"A",NA
NA,"BRONX",2017-01-20,"American","HEALTHY FRESH",11,"MORRIS PARK AVE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10461,"A",NA
NA,"BRONX",2017-01-20,"American","EVO COCKTAIL LOUNGE & RESTAURANT",10,"UNIONPORT ROAD","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10462,"A",NA
NA,"BRONX",2017-01-20,"Spanish","RANDALL RESTAURANT",19,"RANDALL AVENUE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10474,"B",NA
NA,"QUEENS",2017-01-20,"American","TASTEE CORNER",11,"30 AVENUE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",11102,"A",NA
NA,"QUEENS",2017-01-20,"Pakistani","ROTI BOTI RESTAURANT",15,"21 STREET","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11102,"B",NA
NA,"QUEENS",2017-01-20,"American","HEAVEN SPORTS BAR",17,"STEINWAY STREET","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",11103,NA,NA
NA,"BROOKLYN",2017-01-20,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","EL NUEVO PORTAL RESTAURANT",13,"SMITH STREET","Proper sanitization not provided for utensil ware washing operation.",11201,"A",NA
NA,"BROOKLYN",2017-01-20,"American","BROOKLYN HEIGHTS WINE BAR",9,"HENRY STREET","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11201,"A",NA
NA,"BROOKLYN",2017-01-20,"American","TEKOA",36,"CLINTON ST","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11201,NA,NA
NA,"BROOKLYN",2017-01-20,"American","NATIONAL GRID",9,"METROTECH","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11201,"A",NA
NA,"BROOKLYN",2017-01-20,"American","LASSEN & HENNIGS",13,"MONTAGUE ST","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",11201,"A",NA
NA,"BROOKLYN",2017-01-20,"Caribbean","BOSTON JERK-CITY RESTAURANT",74,"UTICA AVENUE","Thawing procedures improper.",11203,NA,NA
NA,"BROOKLYN",2017-01-20,"Tex-Mex","SAN LUCAS MEXICANA RESTAURANT",9,"65TH ST","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11204,"A",NA
NA,"BROOKLYN",2017-01-20,"Bagels/Pretzels","BAGEL WORLD",36,"DEKALB AVENUE","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",11205,NA,NA
NA,"BROOKLYN",2017-01-20,"CafÃ©/Coffee/Tea","CLINTON PARK CAFE",10,"HALL STREET","Wiping cloths soiled or not stored in sanitizing solution.",11205,"A",NA
NA,"BROOKLYN",2017-01-20,"Juice, Smoothies, Fruit Salads","ENERGY FUEL",21,"MYRTLE AVE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",11205,NA,NA
NA,"BROOKLYN",2017-01-20,"American","RUSTIK 471",16,"DEKALB AVENUE","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",11205,NA,NA
NA,"BROOKLYN",2017-01-20,"CafÃ©/Coffee/Tea","RECONNECT CAFE",10,"TOMPKINS AVE","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11206,"A",NA
NA,"BROOKLYN",2017-01-20,"Bakery","MOUNTAIN PROVINCE",8,"MESEROLE STREET","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11206,"A",NA
NA,"BROOKLYN",2017-01-20,"American","SOUL OF THE SEA",2,"VAN SICLEN AVE","Proper sanitization not provided for utensil ware washing operation.",11207,"A",NA
NA,"BROOKLYN",2017-01-20,"American","THE HIDEOUT",12,"5TH AVE","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11209,"A",NA
NA,"BROOKLYN",2017-01-20,"Japanese","HANA SUSHI",6,"86TH ST","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11209,"A",NA
NA,"BROOKLYN",2017-01-20,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","EL PILON",27,"FLATBUSH AVE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",11210,"B",NA
NA,"BROOKLYN",2017-01-20,"Chinese","TIAN FA",13,"GLENWOOD RD","Evidence of mice or live mice present in facility's food and/or non-food areas.",11210,"A",NA
NA,"BROOKLYN",2017-01-20,"Caribbean","GOODAS BAR & LOUNGE",10,"E NEW YORK AVE","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",11212,"A",NA
NA,"BROOKLYN",2017-01-20,"Caribbean","ROYAL CUISINE YARD FOOD",7,"UTICA AVE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11213,"A",NA
NA,"BROOKLYN",2017-01-20,"Pizza","BROOKLYN PIZZERIA",2,"SAINT JOHNS PL","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11213,"A",NA
NA,"BROOKLYN",2017-01-20,"Bottled beverages, including water, sodas, juices, etc.","LA PARRANDA MEXICANA BAR & RESTAURANT",7,"86 STREET","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11214,"A",NA
